"basisOfRecord","class","country","datasetID","datasetName","decimalLatitude","decimalLongitude","eventDate","eventID","family","genus","geodeticDatum","habitat","kingdom","license","maximumDepthInMeters","maximumElevationInMeters","minimumDepthInMeters","minimumElevationInMeters","modified","occurrenceID","occurrenceStatus","order","ownerInstitutionCode","phylum","references","samplingEffort","samplingProtocol","scientificName","scientificNameAuthorship","scientificNameID","stateProvince","taxonRank","waterBody","id","dataset_id","node_id","depth","date_start","date_mid","date_end","date_year","dropped","absence","marine","brackish","subphylum","infraphylum","parvphylum","gigaclass","superclass","subclass","species","kingdomid","phylumid","subphylumid","infraphylumid","parvphylumid","gigaclassid","superclassid","classid","subclassid","orderid","familyid","genusid","speciesid","aphiaID","originalScientificName","bathymetry","shoredistance","sst","sss","countryCode","georeferenceProtocol","island","locality","organismQuantityType","parentEventID","recordedBy","sampleSizeUnit","sampleSizeValue","verbatimCoordinateSystem","language","organismQuantity","type","parentNameUsageID","verbatimIdentification","catalogNumber","day","dynamicProperties","institutionCode","month","occurrenceRemarks","year","collectionCode","collectionID","individualCount","fieldNumber","municipality","rightsHolder","verbatimDepth","higherGeography","locationRemarks","nameAccordingTo","specificEpithet","bibliographicCitation","terrestrial","vernacularName","recordNumber","coordinateUncertaintyInMeters","associatedReferences","dateIdentified","identifiedBy","eventTime","georeferenceRemarks","accessRights","continent","identificationRemarks","identificationVerificationStatus","institutionID","islandGroup","locationAccordingTo","locationID","taxonomicStatus","acceptedNameUsage","eventRemarks","footprintWKT","county","higherClassification","lifeStage","preparations","verbatimEventDate","verbatimLatitude","verbatimLongitude","georeferenceVerificationStatus","georeferencedBy","georeferencedDate","higherGeographyID","nomenclaturalCode","verbatimSRS","materialSampleID","verbatimCoordinates","footprintSRS","nameAccordingToID","previousIdentifications","verbatimLocality","startDayOfYear","coordinatePrecision","fieldNotes","informationWithheld","georeferenceSources","otherCatalogNumbers","associatedSequences","sex"
"HumanObservation","Teleostei",NA,NA,NA,18.3329296112,-64.6781082153,"2010-07-09T15:04:48Z",NA,"Labridae","Halichoeres",NA,NA,"Animalia",NA,NA,NA,NA,NA,NA,NA,NA,"Eupercaria incertae sedis",NA,"Chordata",NA,NA,NA,"Halichoeres radiatus",NA,"urn:lsid:marinespecies.org:taxname:275793",NA,NA,NA,"00641c31-ad30-4ec3-8915-9d1e76ea129f","a9114765-9e28-4a43-9987-4fd9f398748a","310922b4-9d0c-4de1-92d7-9b442d34765b",NA,1278633600000,1278633600000,1278633600000,2010,FALSE,FALSE,TRUE,TRUE,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Halichoeres radiatus",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125541,158813,275793,275793,"Halichoeres radiatus",2,31,27.7,34.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VIRG-ST J-0700-1000.5678.28900","9","observedindividualcount=4;","NOAA-CCMA","7","batchcode=VIRG-ST J-0700-1000;survey_index=5678;habitat_structure=HARD;permanent/random=random;management=STJ OTHER;trophic=I","2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HumanObservation","Teleostei",NA,NA,NA,17.7845497131,-64.6193695068,"2001-02-06T12:00:00Z",NA,"Labridae","Halichoeres",NA,NA,"Animalia",NA,NA,NA,NA,NA,NA,NA,NA,"Eupercaria incertae sedis",NA,"Chordata",NA,NA,NA,"Halichoeres radiatus",NA,"urn:lsid:marinespecies.org:taxname:275793",NA,NA,NA,"010b1569-4db3-426e-9e97-adf851dff5e2","bbf10b27-f6f8-4258-a07b-9e764bd511f6","310922b4-9d0c-4de1-92d7-9b442d34765b",NA,981417600000,981417600000,981417600000,2001,FALSE,FALSE,TRUE,TRUE,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Halichoeres radiatus",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125541,158813,275793,275793,"Halichoeres radiatus",-23,41,27.82,34.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VIRG-ST C-0202-0100.93.30109","6","observedindividualcount=1;","NOAA-CCMA","2","batchcode=VIRG-ST C-0202-0100;survey_index=93;habitat_structure=HARD;permanent/random=random;management=BUIS;trophic=I","2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HumanObservation","Teleostei",NA,NA,NA,17.7669296265,-64.6664123535,"2006-04-20T16:19:48Z",NA,"Labridae","Halichoeres",NA,NA,"Animalia",NA,NA,NA,NA,NA,NA,NA,NA,"Eupercaria incertae sedis",NA,"Chordata",NA,NA,NA,"Halichoeres radiatus",NA,"urn:lsid:marinespecies.org:taxname:275793",NA,NA,NA,"0195a09f-4692-4331-a172-354a77d62c7e","bbf10b27-f6f8-4258-a07b-9e764bd511f6","310922b4-9d0c-4de1-92d7-9b442d34765b",NA,1145491200000,1145491200000,1145491200000,2006,FALSE,FALSE,TRUE,TRUE,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Halichoeres radiatus",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125541,158813,275793,275793,"Halichoeres radiatus",5,51,27.82,34.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VIRG-ST C-0400-0600.3262.51594","20","observedindividualcount=1;","NOAA-CCMA","4","batchcode=VIRG-ST C-0400-0600;survey_index=3262;habitat_structure=HARD;permanent/random=random;management=EEMP;trophic=I","2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HumanObservation","Teleostei",NA,NA,NA,17.7808799744,-64.5674209595,"2003-10-28T10:00:00Z",NA,"Labridae","Halichoeres",NA,NA,"Animalia",NA,NA,NA,NA,NA,NA,NA,NA,"Eupercaria incertae sedis",NA,"Chordata",NA,NA,NA,"Halichoeres radiatus",NA,"urn:lsid:marinespecies.org:taxname:275793",NA,NA,NA,"01a5cade-5e43-4b1c-a1c4-cb0fd621ba9b","bbf10b27-f6f8-4258-a07b-9e764bd511f6","310922b4-9d0c-4de1-92d7-9b442d34765b",NA,1067299200000,1067299200000,1067299200000,2003,FALSE,FALSE,TRUE,TRUE,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Halichoeres radiatus",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125541,158813,275793,275793,"Halichoeres radiatus",15,2395,27.82,34.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VIRG-ST C-1000-0300.1463.38788","28","observedindividualcount=1;","NOAA-CCMA","10","batchcode=VIRG-ST C-1000-0300;survey_index=1463;habitat_structure=HARD;permanent/random=random;management=EEMP;trophic=I","2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HumanObservation","Teleostei",NA,NA,NA,17.7638092041,-64.6172866821,"2006-04-20T15:19:48Z",NA,"Labridae","Halichoeres",NA,NA,"Animalia",NA,NA,NA,NA,NA,NA,NA,NA,"Eupercaria incertae sedis",NA,"Chordata",NA,NA,NA,"Halichoeres radiatus",NA,"urn:lsid:marinespecies.org:taxname:275793",NA,NA,NA,"01bd24c3-e98d-4dad-9400-70378fce720a","bbf10b27-f6f8-4258-a07b-9e764bd511f6","310922b4-9d0c-4de1-92d7-9b442d34765b",NA,1145491200000,1145491200000,1145491200000,2006,FALSE,FALSE,TRUE,TRUE,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Halichoeres radiatus",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125541,158813,275793,275793,"Halichoeres radiatus",-1,268,27.82,34.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VIRG-ST C-0400-0600.3243.51261","20","observedindividualcount=2;","NOAA-CCMA","4","batchcode=VIRG-ST C-0400-0600;survey_index=3243;habitat_structure=HARD;permanent/random=random;management=EEMP;trophic=I","2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HumanObservation","Teleostei",NA,NA,NA,17.7876091003,-64.5733108521,"2003-10-27T10:00:00Z",NA,"Labridae","Halichoeres",NA,NA,"Animalia",NA,NA,NA,NA,NA,NA,NA,NA,"Eupercaria incertae sedis",NA,"Chordata",NA,NA,NA,"Halichoeres radiatus",NA,"urn:lsid:marinespecies.org:taxname:275793",NA,NA,NA,"029a1389-eb8c-4cab-8fc6-7ae7c6dd522c","bbf10b27-f6f8-4258-a07b-9e764bd511f6","310922b4-9d0c-4de1-92d7-9b442d34765b",NA,1067212800000,1067212800000,1067212800000,2003,FALSE,FALSE,TRUE,TRUE,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Halichoeres radiatus",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125541,158813,275793,275793,"Halichoeres radiatus",4,3009,27.82,34.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VIRG-ST C-1000-0300.1456.38597","27","observedindividualcount=1;","NOAA-CCMA","10","batchcode=VIRG-ST C-1000-0300;survey_index=1456;habitat_structure=HARD;permanent/random=random;management=EEMP;trophic=I","2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HumanObservation","Teleostei",NA,NA,NA,18.3526592255,-64.7731399536,"2009-07-08T15:31:12Z",NA,"Labridae","Halichoeres",NA,NA,"Animalia",NA,NA,NA,NA,NA,NA,NA,NA,"Eupercaria incertae sedis",NA,"Chordata",NA,NA,NA,"Halichoeres radiatus",NA,"urn:lsid:marinespecies.org:taxname:275793",NA,NA,NA,"02fa8da9-2df1-45c9-9c0f-1f526058c4d5","a9114765-9e28-4a43-9987-4fd9f398748a","310922b4-9d0c-4de1-92d7-9b442d34765b",NA,1247011200000,1247011200000,1247011200000,2009,FALSE,FALSE,TRUE,TRUE,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Halichoeres radiatus",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125541,158813,275793,275793,"Halichoeres radiatus",-11,71,27.69,34.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VIRG-ST J-0700-0900.5292.25771","8","observedindividualcount=2;","NOAA-CCMA","7","batchcode=VIRG-ST J-0700-0900;survey_index=5292;habitat_structure=HARD;permanent/random=random;management=VIIS;trophic=I","2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HumanObservation","Teleostei",NA,NA,NA,18.3680400848,-64.7207870483,"2007-07-17T13:55:12Z",NA,"Labridae","Halichoeres",NA,NA,"Animalia",NA,NA,NA,NA,NA,NA,NA,NA,"Eupercaria incertae sedis",NA,"Chordata",NA,NA,NA,"Halichoeres radiatus",NA,"urn:lsid:marinespecies.org:taxname:275793",NA,NA,NA,"031290e3-979e-490e-941c-84c71c6d3d53","a9114765-9e28-4a43-9987-4fd9f398748a","310922b4-9d0c-4de1-92d7-9b442d34765b",NA,1184630400000,1184630400000,1184630400000,2007,FALSE,FALSE,TRUE,TRUE,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Halichoeres radiatus",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125541,158813,275793,275793,"Halichoeres radiatus",6,40,27.68,34.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VIRG-ST J-0700-0700.4042.19854","17","observedindividualcount=1;","NOAA-CCMA","7","batchcode=VIRG-ST J-0700-0700;survey_index=4042;habitat_structure=HARD;permanent/random=random;management=VIIS;trophic=I","2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HumanObservation","Teleostei",NA,NA,NA,18.3152008057,-64.7705001831,"2004-07-23T13:34:48Z",NA,"Labridae","Halichoeres",NA,NA,"Animalia",NA,NA,NA,NA,NA,NA,NA,NA,"Eupercaria incertae sedis",NA,"Chordata",NA,NA,NA,"Halichoeres radiatus",NA,"urn:lsid:marinespecies.org:taxname:275793",NA,NA,NA,"03a3ec3d-bd27-42b6-9faa-50db23fa8b5c","a9114765-9e28-4a43-9987-4fd9f398748a","310922b4-9d0c-4de1-92d7-9b442d34765b",NA,1090540800000,1090540800000,1090540800000,2004,FALSE,FALSE,TRUE,TRUE,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Halichoeres radiatus",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125541,158813,275793,275793,"Halichoeres radiatus",-1,308,27.71,34.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VIRG-ST J-0700-0400.1824.8684","23","observedindividualcount=1;","NOAA-CCMA","7","batchcode=VIRG-ST J-0700-0400;survey_index=1824;habitat_structure=HARD;permanent/random=random;management=STJ OTHER;trophic=I","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HumanObservation","Teleostei",NA,NA,NA,17.7907905579,-64.6222229004,"2007-10-16T15:12:00Z",NA,"Labridae","Halichoeres",NA,NA,"Animalia",NA,NA,NA,NA,NA,NA,NA,NA,"Eupercaria incertae sedis",NA,"Chordata",NA,NA,NA,"Halichoeres radiatus",NA,"urn:lsid:marinespecies.org:taxname:275793",NA,NA,NA,"03ac4d65-5813-4aa0-b3d5-06412a562464","bbf10b27-f6f8-4258-a07b-9e764bd511f6","310922b4-9d0c-4de1-92d7-9b442d34765b",NA,1192492800000,1192492800000,1192492800000,2007,FALSE,FALSE,TRUE,TRUE,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Halichoeres radiatus",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125541,158813,275793,275793,"Halichoeres radiatus",-23,126,27.82,34.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VIRG-ST C-1000-0700.4244.54911","16","observedindividualcount=1;","NOAA-CCMA","10","batchcode=VIRG-ST C-1000-0700;survey_index=4244;habitat_structure=HARD;permanent/random=random;management=BUIS;trophic=I","2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HumanObservation","Teleostei",NA,NA,NA,17.7877407074,-64.610168457,"2004-10-20T15:10:12Z",NA,"Labridae","Halichoeres",NA,NA,"Animalia",NA,NA,NA,NA,NA,NA,NA,NA,"Eupercaria incertae sedis",NA,"Chordata",NA,NA,NA,"Halichoeres radiatus",NA,"urn:lsid:marinespecies.org:taxname:275793",NA,NA,NA,"03ce4a43-ba43-4896-9ab5-f18061bb03a5","bbf10b27-f6f8-4258-a07b-9e764bd511f6","310922b4-9d0c-4de1-92d7-9b442d34765b",NA,1098230400000,1098230400000,1098230400000,2004,FALSE,FALSE,TRUE,TRUE,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Halichoeres radiatus",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125541,158813,275793,275793,"Halichoeres radiatus",-6,104,27.82,34.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VIRG-ST C-1000-0400.2106.42174","20","observedindividualcount=1;","NOAA-CCMA","10","batchcode=VIRG-ST C-1000-0400;survey_index=2106;habitat_structure=HARD;permanent/random=random;management=BUIS;trophic=I","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HumanObservation","Teleostei",NA,NA,NA,17.7879600525,-64.6112976074,"2010-10-27T15:03:00Z",NA,"Labridae","Halichoeres",NA,NA,"Animalia",NA,NA,NA,NA,NA,NA,NA,NA,"Eupercaria incertae sedis",NA,"Chordata",NA,NA,NA,"Halichoeres radiatus",NA,"urn:lsid:marinespecies.org:taxname:275793",NA,NA,NA,"041fea68-3c38-4c6c-9c63-9b93c64fb9cb","bbf10b27-f6f8-4258-a07b-9e764bd511f6","310922b4-9d0c-4de1-92d7-9b442d34765b",NA,1288137600000,1288137600000,1288137600000,2010,FALSE,FALSE,TRUE,TRUE,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Halichoeres radiatus",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125541,158813,275793,275793,"Halichoeres radiatus",-6,56,27.82,34.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VIRG-ST C-1000-1000.6073.68202","27","observedindividualcount=3;","NOAA-CCMA","10","batchcode=VIRG-ST C-1000-1000;survey_index=6073;habitat_structure=HARD;permanent/random=random;management=BUIS;trophic=I","2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PreservedSpecimen","Teleostei","Bahamas",NA,NA,23.804019928,-76.1312179565,"2005-05-26T13:18:00Z",NA,"Labridae","Halichoeres",NA,NA,"Animalia",NA,5,NA,NA,NA,NA,NA,NA,"Eupercaria incertae sedis",NA,"Chordata",NA,NA,NA,"Halichoeres radiatus",NA,"urn:lsid:marinespecies.org:taxname:275793",NA,NA,"Atlantic","0428e55b-49e3-4e99-8777-52a3f28dd0f3","d6d6fe4c-425f-4ce7-bf28-7a6befaeb413","310922b4-9d0c-4de1-92d7-9b442d34765b",5,1117065600000,1117065600000,1117065600000,2005,FALSE,FALSE,TRUE,TRUE,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Halichoeres radiatus",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125541,158813,275793,275793,"Halichoeres radiatus",2,56,27.03,36.33,NA,NA,NA,"White Horse, Lee Stocking Island lab area",NA,NA,"J. Van Tassel et al.",NA,NA,NA,NA,NA,NA,NA,NA,"386747.5307278","26",NA,"USNM","5",NA,"2005","Vertebrate Zoology; Fishes",NA,"2.0","VT 05-410",NA,NA,NA,NA,NA,NA,NA,"Department of Vertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution",NA,NA,NA,NA,"National Museum of Natural History, Smithsonian Institution","2006-05-11","Smith, D. G.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HumanObservation","Teleostei",NA,NA,NA,17.7859592438,-64.6114425659,"2006-11-07T15:15:00Z",NA,"Labridae","Halichoeres",NA,NA,"Animalia",NA,NA,NA,NA,NA,NA,NA,NA,"Eupercaria incertae sedis",NA,"Chordata",NA,NA,NA,"Halichoeres radiatus",NA,"urn:lsid:marinespecies.org:taxname:275793",NA,NA,NA,"0428f556-4a2b-45b4-8e50-0b499fb397df","bbf10b27-f6f8-4258-a07b-9e764bd511f6","310922b4-9d0c-4de1-92d7-9b442d34765b",NA,1162857600000,1162857600000,1162857600000,2006,FALSE,FALSE,TRUE,TRUE,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Halichoeres radiatus",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125541,158813,275793,275793,"Halichoeres radiatus",-6,111,27.82,34.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VIRG-ST C-1000-0600.3623.51755","7","observedindividualcount=3;","NOAA-CCMA","11","batchcode=VIRG-ST C-1000-0600;survey_index=3623;habitat_structure=HARD;permanent/random=random;management=BUIS;trophic=I","2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HumanObservation","Teleostei",NA,NA,NA,18.3340396881,-64.6898422241,"2005-07-20T11:19:48Z",NA,"Labridae","Halichoeres",NA,NA,"Animalia",NA,NA,NA,NA,NA,NA,NA,NA,"Eupercaria incertae sedis",NA,"Chordata",NA,NA,NA,"Halichoeres radiatus",NA,"urn:lsid:marinespecies.org:taxname:275793",NA,NA,NA,"04b2fbe6-a4ef-471e-b3b6-95df3cc6eb90","a9114765-9e28-4a43-9987-4fd9f398748a","310922b4-9d0c-4de1-92d7-9b442d34765b",NA,1121817600000,1121817600000,1121817600000,2005,FALSE,FALSE,TRUE,TRUE,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Halichoeres radiatus",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125541,158813,275793,275793,"Halichoeres radiatus",4,613,27.68,34.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VIRG-ST J-0700-0500.2716.12878","20","observedindividualcount=1;","NOAA-CCMA","7","batchcode=VIRG-ST J-0700-0500;survey_index=2716;habitat_structure=HARD;permanent/random=random;management=VICR CBI Study;trophic=I","2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HumanObservation","Teleostei",NA,NA,NA,18.3122291565,-64.7013473511,"2009-07-09T16:22:12Z",NA,"Labridae","Halichoeres",NA,NA,"Animalia",NA,NA,NA,NA,NA,NA,NA,NA,"Eupercaria incertae sedis",NA,"Chordata",NA,NA,NA,"Halichoeres radiatus",NA,"urn:lsid:marinespecies.org:taxname:275793",NA,NA,NA,"04c71e01-3032-4635-bb0e-5c3f4da9bd45","a9114765-9e28-4a43-9987-4fd9f398748a","310922b4-9d0c-4de1-92d7-9b442d34765b",NA,1247097600000,1247097600000,1247097600000,2009,FALSE,FALSE,TRUE,TRUE,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Halichoeres radiatus",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125541,158813,275793,275793,"Halichoeres radiatus",-33,51,27.7,34.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VIRG-ST J-0700-0900.5307.26108","9","observedindividualcount=4;","NOAA-CCMA","7","batchcode=VIRG-ST J-0700-0900;survey_index=5307;habitat_structure=HARD;permanent/random=random;management=STJ OTHER;trophic=I","2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
